Customer ID,Total Output Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1-Jun,2-Jun,3-Jun,4-Jun,5-Jun,6-Jun,7-Jun,8-Jun,9-Jun,10-Jun,11-Jun,12-Jun,13-Jun,14-Jun,15-Jun,16-Jun,17-Jun,18-Jun,19-Jun,20-Jun,21-Jun,22-Jun,23-Jun,24-Jun,25-Jun,26-Jun,27-Jun,28-Jun,29-Jun,30-Jun
PK01000128771001,47271.88,47286.94,47300.77,47313.64,47327.82,47341.12,47354.94,47369.13,47382.6,47395.56,47407.09,47420.62,47433.26,47448.24,47463.23,47477.82,47490.07,47501.66,47516.19,47531.62,47546.73,47561.92,47575.99,47588.72,47600.64,47614.68,47628.99,47642.97,47656.4,47669.75
PK01000128882001,578709.6,582682.8,586940.4,590956.8,594474,597805.2,601126.8,604689.6,608246.4,611983.2,615550.8,619033.2,622248,625855.2,629683.2,633632.4,637467.6,640821.6,644528.4,648728.4,652868.4,656952,660870,664804.8,668136,671599.2,675255.6,678705.6,682183.2,685610.4
PK01000128929001,53008.44,53034.14,53060.66,53088.07,53109.04,53129.74,53151.07,53172.76,53193.96,53215.47,53238.1,53259.53,53279.03,53301.9,53326.12,53350.29,53372.49,53394.01,53416.06,53441.78,53468.07,53492.92,53517.17,53541.82,53563.59,53585.46,53608.77,53630.41,53651.52,53671.78
PK01000129237001,72601.42,72644.63,72687.98,72732.85,72770.11,72806.52,72843.6,72880.96,72918.78,72955.72,72993.74,73029.72,73065.15,73105.08,73144.71,73185.24,73222,73258.14,73298.25,73341.36,73383.9,73425.83,73467.7,73507.57,73544.19,73583.4,73623.4,73661.21,73697.58,73734.85
PK01000129243001,29787.16,29815.73,29824.93,29831.49,29858.93,29862.76,29873.98,29887.41,29900.69,29914.09,29929.08,29941.64,29955,29967.27,29981.04,29994.43,30009.69,30027.94,30036.07,30049.19,30066.34,30081.37,30095,30110.33,30124.02,30137.37,30150.81,30164.51,30177.77,30190.63
PK01000129244001,166792,169044,171389,173768,175745,177640,179587,181561,183501,185578,187875,189977,191858,192932,196254,198418,200425,202461,204646,206945,209366,211601,213706,215771,217778,219796,221845,223764,225632,227572
PK01000129246001,81314.45,81340.42,81366.24,81394.94,81417.45,81439.29,81461.73,81484.44,81506.07,81530.72,81554.88,81577.98,81599.54,81622.66,81649.87,81673.08,81697.15,81721.73,81746.13,81773.1,81799.98,81826.01,81851.57,81878.1,81902,81924.53,81948.58,81972.1,81994.94,82017.81
PK01000129253001,5882983.2,5886620.4,5890485.6,5894317.2,5897571.6,5900767.2,5904018,5907298.8,5910526.8,5913831.6,5917273.2,5920519.2,5923558.8,5926935.6,5930533.2,5934147.6,5937478.8,5940702,5944249.2,5948155.2,5952028.8,5955708,5959243.2,5962756.8,5965873.2,5969145.6,5972652,5975888.4,5979049.2,5982224.4
PK01000129254001,78247.13,78284.35,78322.83,78361.45,78393.7,78425.77,78458.39,78491.44,78524.23,78557.85,78592.48,78625.11,78655.89,78690.46,78725.8,78761.31,78794.76,78827.51,78862.44,78900.48,78938.31,78975.6,79011.24,79046.58,79079.08,79112.26,79146.95,79179.84,79212.11,79244.33
PK01000129278001,3736545.6,3738411.2,3740392,3742424.8,3744026.4,3745636.8,3747288.8,3749101.6,3750736.8,3752459.2,3754169.6,3755808.8,3757404,3759153.6,3760924,3762708.8,3764408,3766044.8,3767901.6,3769862.4,3771775.2,3773638.4,3775496,3777380.8,3779167.2,3780954.4,3782784.8,3784516,3786159.2,3787931.2
PK01000129280001,7532481.6,7537208,7542195.2,7547217.6,7551340.8,7555363.2,7559542.4,7563806.4,7568075.2,7572380.8,7576884.8,7581267.2,7585288,7589816,7594649.6,7599428.8,7604030.4,7608449.6,7613105.6,7618219.2,7623297.6,7628240,7632880,7637657.6,7641996.8,7646443.2,7651099.2,7655459.2,7659705.6,7663862.4
PK01000129317001,38761.1,38778.08,38789.34,38799.28,38816.39,38832.55,38848.72,38864.86,38881.39,38891.57,38901.72,38918.74,38934.79,38952.01,38968.92,38985.65,38996.12,39006.02,39023.59,39041.32,39058.79,39076.59,39093.14,39104.36,39114.67,39131.96,39150.34,39166.71,39183.23,39199.29
PK01000129319001,60256.86,60293.8,60331.34,60369.69,60402.13,60433.41,60465.61,60498.03,60530.71,60564.54,60598.45,60631.86,60662.83,60697.12,60733.37,60769.81,60804.64,60837.33,60872.34,60910.12,60947.24,60983.55,61018.13,61053.07,61084.67,61117.45,61151.88,61184.24,61216.04,61247.76
PK01000129327001,4997369.6,5001585.6,5005928,5009657.6,5013844.8,5017440,5021084.8,5024817.6,5028550.4,5032404.8,5036345.6,5039572.8,5043700.8,5047640,5051832,5055904,5059803.2,5063569.6,5067524.8,5071918.4,5076196.8,5080401.6,5084409.6,5088388.8,5092067.2,5095848,5099795.2,5103384,5106139.2,5109568
PK01000129331001,233080,236308,239666,243150,246168,249016,251946,254870,257802,260748,263888,266946,269768,271158,276030,279310,282326,285374,288446,291860,295332,298732,301958,305098,308120,311150,314252,317152,320084,322918
PK01000129333001,2261684.8,2263836,2266076,2268252,2270248,2272124,2274044.8,2275993.6,2277922.4,2279883.2,2281804.8,2283751.2,2285585.6,2287594.4,2289693.6,2291852,2293955.2,2295891.2,2297907.2,2300116.8,2302384,2304514.4,2306576.8,2308610.4,2310499.2,2312414.4,2314432.8,2316372,2318344,2320182.4
PK01000129336001,62996.89,63014.53,63033.06,63051.98,63066.69,63081.09,63095.92,63110.87,63126.08,63141.61,63157.9,63172.99,63187.27,63203.15,63219.73,63236.24,63252.6,63268.34,63284.25,63301.9,63320.04,63337.67,63354.33,63371.28,63386.75,63401.68,63417.44,63432.61,63447.7,63461.93
